Category,Company
Fast food & Restaurants,Kufta
Fast food & Restaurants,Sweet Corn
Fast food & Restaurants,Spin
Fast food & Restaurants,Burdogz
Fast food & Restaurants,The Burger Factory
Fast food & Restaurants,Burger Club
Fast food & Restaurants,Bun N Glaze
Fast food & Restaurants,Shocks Burger
Fast food & Restaurants,The Burger Guy
Fast food & Restaurants,Holmes Burger
Fast food & Restaurants,Stuff It
Fast food & Restaurants,3 Dinner
Fast food & Restaurants,La Fiesta Loca
Fast food & Restaurants,Mimas
Fast food & Restaurants,Clucks
Fast food & Restaurants,Yaba
Fast food & Restaurants,Lou
Fast food & Restaurants,Pasta 2 go
Fast food & Restaurants,41
Desserts & Bakery,Fluer Chocolates
Desserts & Bakery,Cookie Saya
Desserts & Bakery,Cookie Bite
Desserts & Bakery,Sarah Cookie
Desserts & Bakery,Nancy Bakes
Desserts & Bakery,Hans & Gretel
Desserts & Bakery,Ninos
Cafés,ILO Speciality Coffee
Cafés,Karak Boy
Cafés,Moko
Cafés,Cult
Cafés,Saints
Games & Entertainment / الألعاب والترفيه,Msra7 Gareema
Games & Entertainment / الألعاب والترفيه,Casino Al3ab
Games & Entertainment / الألعاب والترفيه,Jokey Joy
Games & Entertainment / الألعاب والترفيه,Remontada
Games & Entertainment / الألعاب والترفيه,Saleeny
Games & Entertainment / الألعاب والترفيه,2ool a Meme
Games & Entertainment / الألعاب والترفيه,Dare 2
"Snacks & Packaged Foods (Chips, etc.)",Spuds
"Snacks & Packaged Foods (Chips, etc.)",Marchzone
"Snacks & Packaged Foods (Chips, etc.)",Soul Chipsy
"Snacks & Packaged Foods (Chips, etc.)",Gusto Chips
"Snacks & Packaged Foods (Chips, etc.)",Chipseco
"Snacks & Packaged Foods (Chips, etc.)",Heaven's IFI
"Snacks & Packaged Foods (Chips, etc.)",Corona
"Snacks & Packaged Foods (Chips, etc.)",Nachito
"Snacks & Packaged Foods (Chips, etc.)",Lite Bite
"Snacks & Packaged Foods (Chips, etc.)",Carlito
"Snacks & Packaged Foods (Chips, etc.)",Coca Lovers
"Snacks & Packaged Foods (Chips, etc.)",Bonz
"Snacks & Packaged Foods (Chips, etc.)",Poplay
"Snacks & Packaged Foods (Chips, etc.)",Mega
"Snacks & Packaged Foods (Chips, etc.)",Kik
"Snacks & Packaged Foods (Chips, etc.)",Real nutrition
"Snacks & Packaged Foods (Chips, etc.)",Lino oats
"Snacks & Packaged Foods (Chips, etc.)",Rocha sweets
"Snacks & Packaged Foods (Chips, etc.)",Crush monestr
"Snacks & Packaged Foods (Chips, etc.)",Smoochy
"Snacks & Packaged Foods (Chips, etc.)",Pretzo
"Snacks & Packaged Foods (Chips, etc.)",Chew chew
"Beverage (Soft Drinks, etc.)",V7
"Beverage (Soft Drinks, etc.)",Spiro Spathis
"Beverage (Soft Drinks, etc.)",Fayrouz
"Beverage (Soft Drinks, etc.)",Phizz
"Beverage (Soft Drinks, etc.)",Coffee Mix
"Beverage (Soft Drinks, etc.)",Double Dare
"Beverage (Soft Drinks, etc.)",Fury
"Beverage (Soft Drinks, etc.)",Green cola
"Beverage (Soft Drinks, etc.)",Milkman
"Beverage (Soft Drinks, etc.)",Best
"Beverage (Soft Drinks, etc.)",Buzz
Companies,E-bank
Companies,Bank Masr
Companies,Indomie
Companies,Soadaa Group
Companies,Sleno Advertising Agency
Companies,Original Company
Companies,We Company
Companies,TeenTern
Companies,Wuzzuf
Companies,Emirates NBD bank
Companies,AZM Company
Companies,Attract Marketing Company
Companies,Might is right Company
Companies,QNB Bank
Companies,Life Chemical group
Companies,Savola Company
Companies,Msquared Company
Companies,Hassan Allam
Companies,We nawy
Companies,WE orascom
Companies,Majed Al Futtaim
